class_index,category_id,species_name,common_name,family,genus,precision,recall,f1,support,class_accuracy
176,3828,Loxia curvirostra,Red Crossbill,Fringillidae,Loxia,0.5714285714285714,0.4,0.47058823529411764,10,0.4
177,3849,Hirundo rustica,Barn Swallow,Hirundinidae,Hirundo,0.25,0.1,0.14285714285714285,10,0.1
178,3859,Riparia riparia,Bank Swallow,Hirundinidae,Riparia,0.8,0.4,0.5333333333333333,10,0.4
179,3860,Stelgidopteryx ruficollis,Southern Rough-winged Swallow,Hirundinidae,Stelgidopteryx,0.75,0.6,0.6666666666666666,10,0.6
180,3865,Tachycineta thalassina,Violet-green Swallow,Hirundinidae,Tachycineta,0.5833333333333334,0.7,0.6363636363636364,10,0.7
181,3868,Agelaius tricolor,Tricolored Blackbird,Icteridae,Agelaius,0.8,0.4,0.5333333333333333,10,0.4
182,3901,Quiscalus quiscula,Common Grackle,Icteridae,Quiscalus,0.8,0.4,0.5333333333333333,10,0.4
183,3938,Ptilotula penicillata,White-plumed Honeyeater,Meliphagidae,Ptilotula,0.5714285714285714,0.8,0.6666666666666666,10,0.8
184,3961,Anthus pratensis,Meadow Pipit,Motacillidae,Anthus,0.5714285714285714,0.4,0.47058823529411764,10,0.4
185,3990,Oenanthe familiaris,Familiar Chat,Muscicapidae,Oenanthe,0.8,0.8,0.8,10,0.8
186,4040,Poecile hudsonicus,Boreal Chickadee,Paridae,Poecile,0.45454545454545453,0.5,0.47619047619047616,10,0.5
187,4043,Poecile rufescens,Chestnut-backed Chickadee,Paridae,Poecile,0.0,0.0,0.0,10,0.0
188,4068,Setophaga cerulea,Cerulean Warbler,Parulidae,Setophaga,0.7777777777777778,0.7,0.7368421052631579,10,0.7
189,4070,Setophaga citrina,Hooded Warbler,Parulidae,Setophaga,0.7,0.7,0.7,10,0.7
190,4073,Setophaga dominica,Yellow-throated Warbler,Parulidae,Setophaga,0.6666666666666666,0.6,0.631578947368421,10,0.6
191,4084,Setophaga ruticilla,American Redstart,Parulidae,Setophaga,0.75,0.3,0.42857142857142855,10,0.3
192,4089,Vermivora chrysoptera,Golden-winged Warbler,Parulidae,Vermivora,0.3333333333333333,0.3,0.3157894736842105,10,0.3
193,4099,Calamospiza melanocorys,Lark Bunting,Passerellidae,Calamospiza,0.6,0.6,0.6,10,0.6
194,4100,Centronyx henslowii,Henslow's Sparrow,Passerellidae,Centronyx,0.6923076923076923,0.9,0.782608695652174,10,0.9
195,4118,Pipilo erythrophthalmus,Eastern Towhee,Passerellidae,Pipilo,0.46153846153846156,0.6,0.5217391304347826,10,0.6
196,4138,Eopsaltria australis,Eastern Yellow Robin,Petroicidae,Eopsaltria,0.6428571428571429,0.9,0.75,10,0.9
197,4142,Petroica macrocephala,Tomtit,Petroicidae,Petroica,0.5454545454545454,0.6,0.5714285714285714,10,0.6
198,4178,Regulus ignicapilla,Common Firecrest,Regulidae,Regulus,0.5714285714285714,0.8,0.6666666666666666,10,0.8
199,4189,Sitta pusilla,Brown-headed Nuthatch,Sittidae,Sitta,0.75,0.6,0.6666666666666666,10,0.6
200,4203,Chamaea fasciata,Wrentit,Sylviidae,Chamaea,0.7142857142857143,0.5,0.5882352941176471,10,0.5
201,4228,Saltator coerulescens,Grayish Saltator,Thraupidae,Saltator,0.5384615384615384,0.7,0.6086956521739131,10,0.7
202,4245,Thraupis episcopus,Blue-gray Tanager,Thraupidae,Thraupis,0.8571428571428571,0.6,0.7058823529411765,10,0.6
203,4293,Contopus cooperi,Olive-sided Flycatcher,Tyrannidae,Contopus,0.4166666666666667,0.5,0.45454545454545453,10,0.5
204,4295,Contopus sordidulus,Western Wood-Pewee,Tyrannidae,Contopus,0.7142857142857143,0.5,0.5882352941176471,10,0.5
205,4302,Empidonax hammondii,Hammond's Flycatcher,Tyrannidae,Empidonax,0.4117647058823529,0.7,0.5185185185185185,10,0.7
206,4308,Fluvicola nengeta,Masked Water-Tyrant,Tyrannidae,Fluvicola,0.6363636363636364,0.7,0.6666666666666666,10,0.7
207,4313,Myiarchus cinerascens,Ash-throated Flycatcher,Tyrannidae,Myiarchus,0.625,0.5,0.5555555555555556,10,0.5
208,4350,Zosterops japonicus,Warbling White-eye,Zosteropidae,Zosterops,0.36363636363636365,0.4,0.38095238095238093,10,0.4
209,4352,Zosterops palpebrosus,Indian White-eye,Zosteropidae,Zosterops,0.375,0.3,0.3333333333333333,10,0.3
210,4372,Cochlearius cochlearius,Boat-billed Heron,Ardeidae,Cochlearius,0.8,0.4,0.5333333333333333,10,0.4
